generation_id,generation_index,average_fitness
e6ecc6c2,0,0.0
a5014d64,1,0.0
35c5e2f0,2,0.8833155112296944
790f1f08,3,0.0
01cc6c0a,4,0.49009635232973664
bac29394,5,0.0
3cd69bf9,6,0.0
9d99552b,7,0.0
6d710295,8,0.45146951569533805
aabc80ab,9,0.0
0efab38a,10,0.0
6015e0fa,11,0.0
2002c021,12,0.1774627045227989
853e59a0,13,0.0
68f3d0b4,14,0.0
a25d0a9c,15,0.0
23eda8b9,16,0.0
ae7efe72,17,0.0
eaff43db,18,0.0
4e3e1efd,19,0.0
4c750efb,20,0.0
e12b1781,21,0.4897637622569174
9f10c6d6,22,0.0
6c4ee260,23,0.9683069588305884
18f6e149,24,0.0
71f820f8,25,0.0
510f0c24,26,0.0
0feaa514,27,0.0
ecb20e35,28,0.0
106e5fbc,29,0.0
b4f66804,30,0.0
dc417417,31,0.0
8ae116dc,32,0.4934735033083157
b994ba2f,33,0.48248199693230354
ea8ed844,34,0.0
9eda2930,35,0.0
449533bf,36,0.0
8d8a850b,37,0.0
17c9fd19,38,0.0
644bc011,39,0.0
225649ca,40,0.0
f88a3f63,41,0.0
8d63030d,42,0.0
34d5988a,43,0.0
d6e77abe,44,0.0
692c5366,45,0.0
ed23b485,46,0.0
19a2874f,47,0.0
195b3946,48,0.0
2e90556e,49,0.0
