generation_id,generation_index,average_fitness
e538ec45,0,0.0
ed4f40ce,1,0.0
ecc06004,2,0.0
e7750ddf,3,0.0
6f07d281,4,0.0
ad5242c0,5,0.0
3ee565d7,6,0.0
50649a03,7,0.0
d98cd111,8,0.07517363580416223
756599e8,9,0.0
e37b5fa5,10,0.0
014e609b,11,0.0
75307458,12,0.0
3b2f7086,13,0.0
31f176e5,14,0.0
98625f74,15,0.0
6eb4d9a8,16,0.0
ce0f5f60,17,0.0
fa0dcc70,18,0.0
1e1ed083,19,0.0
0f35e300,20,0.0
033ce03f,21,0.0
a5964e6c,22,0.0
99c494bc,23,0.0
758c7931,24,0.09557196920178412
a6e150dc,25,0.0
94b63f3f,26,0.0
c52103d5,27,0.0
ff451c6b,28,0.0
f407c9ee,29,0.0
3205f172,30,0.08888816570448434
a12d3231,31,0.0
fc4bf14a,32,0.0
5d6db35f,33,0.0
edb1db77,34,0.020803757655251748
e44dd60b,35,0.0
00e91d31,36,0.0
a1d4ef37,37,0.0
38554da5,38,0.0
6aa6be0a,39,0.0
c2e77315,40,0.057180955922877336
fcc4533e,41,0.0
25d53ae3,42,0.09066883606534963
f10e08e2,43,0.0
87db1ed5,44,0.0
07ee0c86,45,0.0
e0b71cba,46,0.0
90f35f79,47,0.0
24ec6d7a,48,0.0
20574e40,49,0.0
