generation_id,generation_index,average_fitness
d5c3f8a9,0,0.0
732ccae4,1,0.0
ed026d2a,2,0.0
8f78724f,3,0.0
b36c3fa5,4,0.0
b38de283,5,0.0
e202e461,6,0.0
537b2343,7,0.0
c74a6337,8,0.0
4ac7698c,9,0.0
88a26fd0,10,0.48512756235773385
38dae1e5,11,0.0
4e1b6659,12,0.0
13e97775,13,0.4785732701067304
deb429e7,14,0.0
084e1623,15,0.0
bb28b896,16,0.0
3ec207c4,17,0.0
d54b9b7b,18,0.0
3c732071,19,0.4248791384845107
c2f5b3c4,20,0.0
c0c2ffd4,21,0.0
1868c27a,22,0.0
bb33fe22,23,0.0
d1f6b561,24,0.0
2a187eed,25,0.0
0b0a8635,26,0.0
a5471a85,27,0.0
b5f42722,28,0.0
b9e540be,29,0.0
c4e912b4,30,0.0
79abd6b6,31,0.42290996079704823
a6947968,32,0.0
968f4bb0,33,0.35052625902046786
844cbc89,34,0.0
b83150aa,35,0.4662049538239478
5b6afb10,36,0.0
fa8931e4,37,0.0
f0983fb5,38,0.0
712f4e5f,39,0.0
d2eb53a1,40,0.0
41aff08e,41,0.0
8864b6c1,42,0.0
09cc9a8f,43,0.0
432ed19e,44,0.0
3a3e2aa8,45,0.0
816925c7,46,0.13429022693343248
f5958565,47,0.0
bb38331a,48,0.0
75b90f6a,49,0.0
