generation_id,generation_index,average_fitness
1fb03773,0,0.0
597e5514,1,0.0
12bd54e0,2,0.0
42665606,3,0.0
c2d41c71,4,0.0
480d9a26,5,0.4795510035041708
60fa7826,6,0.0
58cd550c,7,0.0
eea46551,8,0.0
205fed0c,9,0.0
d8ed4417,10,0.0
5011130c,11,0.0
1c277fb3,12,0.0
bf1b6ea0,13,0.0
6738fb80,14,0.0
8788dad6,15,0.47019683943636037
f457385d,16,0.0
92b2d2c4,17,0.0
43796f85,18,0.0
693da3ab,19,0.0
c20d3d07,20,0.0
e3fe49e8,21,0.0
fb8e1002,22,0.0
c6061b9a,23,0.4457521744900129
ef3fc54a,24,0.0
129d0b0a,25,0.48866110915276545
fb6cfddf,26,0.0061869921937806535
6fb7a2eb,27,0.39937378585219085
c9b771da,28,0.0
26b36f5f,29,0.49303465857423256
963071da,30,0.0
f52d1af9,31,0.48004612387743456
9c461b6e,32,0.0
be8fb78a,33,0.0
5931df2a,34,0.0
a744fc55,35,0.0
c5a3b67f,36,0.0
4dc177c2,37,0.0
89f15759,38,0.0
73529688,39,0.44273684813045
67b92faa,40,0.0
0632e0f9,41,0.0
67068296,42,0.0
11118703,43,0.4607744909366974
e5341e47,44,0.0
37ecfe8f,45,0.0
cca7f455,46,0.0
20d9f68f,47,0.0
dca55d75,48,0.44364878580075784
da87026a,49,0.42940548456269234
