generation_id,generation_index,average_fitness
8033b556,0,0.0
9f0668b1,1,0.0
7e23673b,2,0.0
c98a9b92,3,0.0
f0c22422,4,0.0
0a35765a,5,0.0
6b10f9fa,6,0.0
77ccfebc,7,0.0
bf05cb94,8,0.0
9bc9b26b,9,0.0
2807cba7,10,0.0
bc2ef6d1,11,0.0
06e2d844,12,0.4653891079423322
08ad1128,13,0.0
ea4a006b,14,0.0
60b9dbda,15,0.0
c8476591,16,0.0
246b4fc1,17,0.0
582d18aa,18,0.0
78058187,19,0.0
c51ca971,20,0.4670466787952968
01070b5c,21,0.0
55803d72,22,0.0
15de201c,23,0.0
95e2d456,24,0.0
752ddca0,25,0.0
65431330,26,0.0
d258066e,27,0.0
fcc24c86,28,0.3544804890791136
8bdf027e,29,0.0
